utterance_id,language,intent,text
BEN0039,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0040,Bengali,start_game,খেলাটি শুরু করো
BEN0041,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0042,Bengali,start_game,মেমোরি গেম চালু করো
BEN0043,Bengali,start_game,গেম শুরু করো
BEN0044,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0045,Bengali,start_game,খেলা শুরু করুন
BEN0046,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0047,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0048,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0049,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0050,Bengali,start_game,খেলাটি শুরু করো
BEN0051,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0052,Bengali,start_game,মেমোরি গেম চালু করো
BEN0053,Bengali,start_game,গেম শুরু করো
BEN0054,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0055,Bengali,start_game,খেলা শুরু করুন
BEN0056,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0057,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0058,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0059,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0060,Bengali,start_game,খেলাটি শুরু করো
BEN0061,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0062,Bengali,start_game,মেমোরি গেম চালু করো
BEN0063,Bengali,start_game,গেম শুরু করো
BEN0064,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0065,Bengali,start_game,খেলা শুরু করুন
BEN0066,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0067,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0068,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0069,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0070,Bengali,start_game,খেলাটি শুরু করো
BEN0071,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0072,Bengali,start_game,মেমোরি গেম চালু করো
BEN0073,Bengali,start_game,গেম শুরু করো
BEN0074,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0075,Bengali,start_game,খেলা শুরু করুন
BEN0076,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0077,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0078,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0079,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0080,Bengali,start_game,খেলাটি শুরু করো
BEN0081,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0082,Bengali,start_game,মেমোরি গেম চালু করো
BEN0083,Bengali,start_game,গেম শুরু করো
BEN0084,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0085,Bengali,start_game,খেলা শুরু করুন
BEN0086,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0087,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0088,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0089,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0090,Bengali,start_game,খেলাটি শুরু করো
BEN0091,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0092,Bengali,start_game,মেমোরি গেম চালু করো
BEN0093,Bengali,start_game,গেম শুরু করো
BEN0094,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0095,Bengali,start_game,খেলা শুরু করুন
BEN0096,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0097,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0098,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0099,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0100,Bengali,start_game,খেলাটি শুরু করো
BEN0101,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0102,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0103,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0104,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0105,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0106,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0107,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0108,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0109,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0110,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0111,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0112,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0113,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0114,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0115,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0116,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0117,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0118,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0119,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0120,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0121,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0122,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0123,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0124,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0125,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0126,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0127,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0128,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0129,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0130,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0131,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0132,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0133,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0134,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0135,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0136,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0137,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0138,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0139,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0140,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0141,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0142,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0143,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0144,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0145,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0146,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0147,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0148,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0149,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0150,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0151,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0152,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0153,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0154,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0155,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0156,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0157,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0158,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0159,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0160,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0161,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0162,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0163,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0164,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0165,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0166,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0167,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0168,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0169,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0170,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0171,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0172,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0173,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0174,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0175,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0176,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0177,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0178,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0179,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0180,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0181,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0182,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0183,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0184,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0185,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0186,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0187,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0188,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0189,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0190,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0191,Bengali,medicine_reminder,আমার ওষুধের কথা মনে করিয়ে দাও
BEN0192,Bengali,medicine_reminder,ওষুধ খাওয়ার কথা মনে করিয়ে দাও
BEN0193,Bengali,medicine_reminder,আমাকে ওষুধের কথা মনে করিয়ে দাও
BEN0194,Bengali,medicine_reminder,ওষুধ খাওয়ার জন্য মনে করিয়ে দিও
BEN0195,Bengali,medicine_reminder,আমার ওষুধের সময় মনে করিয়ে দাও
BEN0196,Bengali,medicine_reminder,ওষুধ নেওয়ার কথা মনে করিয়ে দাও
BEN0197,Bengali,medicine_reminder,আমাকে ওষুধ খেতে মনে করিয়ে দাও
BEN0198,Bengali,medicine_reminder,ওষুধের জন্য একটি রিমাইন্ডার দাও
BEN0199,Bengali,medicine_reminder,আমার ওষুধের রিমাইন্ডার সেট করো
BEN0200,Bengali,medicine_reminder,ওষুধ খাওয়ার রিমাইন্ডার চাই
BEN0201,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0202,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0203,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0204,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0205,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0206,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0207,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0208,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0209,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0210,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0211,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0212,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0213,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0214,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0215,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0216,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0217,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0218,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0219,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0220,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0221,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0222,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0223,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0224,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0225,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0226,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0227,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0228,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0229,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0230,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0231,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0232,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0233,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0234,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0235,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0236,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0237,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0238,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0239,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0240,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0241,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0242,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0243,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0244,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0245,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0246,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0247,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0248,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0249,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0250,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0251,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0252,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0253,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0254,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0255,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0256,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0257,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0258,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0259,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0260,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0261,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0262,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0263,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0264,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0265,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0266,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0267,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0268,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0269,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0270,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0271,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0272,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0273,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0274,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0275,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0276,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0277,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0278,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0279,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0280,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0281,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0282,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0283,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0284,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0285,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0286,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0287,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0288,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0289,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0290,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0291,Bengali,hydration_reminder,আমাকে জল খাওয়ার কথা মনে করিয়ে দাও
BEN0292,Bengali,hydration_reminder,পানি খাওয়ার কথা মনে করিয়ে দাও
BEN0293,Bengali,hydration_reminder,আমাকে জল পান করতে মনে করিয়ে দাও
BEN0294,Bengali,hydration_reminder,পানি খাওয়ার জন্য রিমাইন্ডার দাও
BEN0295,Bengali,hydration_reminder,জল খাওয়ার রিমাইন্ডার সেট করো
BEN0296,Bengali,hydration_reminder,আমাকে পানি পান করতে মনে করিয়ে দিও
BEN0297,Bengali,hydration_reminder,জল পান করার কথা মনে করিয়ে দাও
BEN0298,Bengali,hydration_reminder,পানি খাওয়ার সময় মনে করিয়ে দাও
BEN0299,Bengali,hydration_reminder,আমার জন্য জল খাওয়ার রিমাইন্ডার দাও
BEN0300,Bengali,hydration_reminder,পানি পান করার রিমাইন্ডার চাই
BEN0301,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0302,Bengali,today_tasks,আজ আমার কী কাজ আছে
BEN0303,Bengali,today_tasks,আজকের কাজের তালিকা দেখাও
BEN0304,Bengali,today_tasks,আজকের কাজগুলো বলো
BEN0305,Bengali,today_tasks,আজ আমাকে কী করতে হবে
BEN0306,Bengali,today_tasks,আজকের টাস্কগুলো দেখাও
BEN0307,Bengali,today_tasks,আজকের কাজ সম্পর্কে বলো
BEN0308,Bengali,today_tasks,আমার আজকের কাজ কী
BEN0309,Bengali,today_tasks,আজকের কাজের তালিকা চাই
BEN0310,Bengali,today_tasks,আজ কী কী করতে হবে বলো
BEN0311,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0312,Bengali,today_tasks,আজ আমার কী কাজ আছে
BEN0313,Bengali,today_tasks,আজকের কাজের তালিকা দেখাও
BEN0314,Bengali,today_tasks,আজকের কাজগুলো বলো
BEN0315,Bengali,today_tasks,আজ আমাকে কী করতে হবে
BEN0316,Bengali,today_tasks,আজকের টাস্কগুলো দেখাও
BEN0317,Bengali,today_tasks,আজকের কাজ সম্পর্কে বলো
BEN0318,Bengali,today_tasks,আমার আজকের কাজ কী
BEN0319,Bengali,today_tasks,আজকের কাজের তালিকা চাই
BEN0320,Bengali,today_tasks,আজ কী কী করতে হবে বলো
BEN0321,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0322,Bengali,today_tasks,আজ আমার কী কাজ আছে
BEN0323,Bengali,today_tasks,আজকের কাজের তালিকা দেখাও
BEN0324,Bengali,today_tasks,আজকের কাজগুলো বলো
BEN0325,Bengali,today_tasks,আজ আমাকে কী করতে হবে
BEN0326,Bengali,today_tasks,আজকের টাস্কগুলো দেখাও
BEN0327,Bengali,today_tasks,আজকের কাজ সম্পর্কে বলো
BEN0328,Bengali,today_tasks,আমার আজকের কাজ কী
BEN0329,Bengali,today_tasks,আজকের কাজের তালিকা চাই
BEN0330,Bengali,today_tasks,আজ কী কী করতে হবে বলো
BEN0331,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0332,Bengali,today_tasks,আজ আমার কী কাজ আছে
BEN0333,Bengali,today_tasks,আজকের কাজের তালিকা দেখাও
BEN0334,Bengali,today_tasks,আজকের কাজগুলো বলো
BEN0335,Bengali,today_tasks,আজ আমাকে কী করতে হবে
BEN0336,Bengali,today_tasks,আজকের টাস্কগুলো দেখাও
BEN0337,Bengali,today_tasks,আজকের কাজ সম্পর্কে বলো
BEN0338,Bengali,today_tasks,আমার আজকের কাজ কী
BEN0339,Bengali,today_tasks,আজকের কাজের তালিকা চাই
BEN0340,Bengali,today_tasks,আজ কী কী করতে হবে বলো
BEN0341,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0342,Bengali,today_tasks,আজ আমার কী কাজ আছে
BEN0343,Bengali,today_tasks,আজকের কাজের তালিকা দেখাও
BEN0344,Bengali,today_tasks,আজকের কাজগুলো বলো
BEN0345,Bengali,today_tasks,আজ আমাকে কী করতে হবে
BEN0346,Bengali,today_tasks,আজকের টাস্কগুলো দেখাও
BEN0347,Bengali,today_tasks,আজকের কাজ সম্পর্কে বলো
BEN0348,Bengali,today_tasks,আমার আজকের কাজ কী
BEN0349,Bengali,today_tasks,আজকের কাজের তালিকা চাই
BEN0350,Bengali,today_tasks,আজ কী কী করতে হবে বলো
BEN0351,Bengali,today_tasks,আজকের কাজগুলো দেখাও
BEN0352,Bengali,today_tasks,আজ আমার কী কাজ আছে
